com.tomergoldst.tooltips.ToolTip,POSITION_ABOVE POSITION_BELOW POSITION_LEFT_TO POSITION_RIGHT_TO
java.lang.Boolean,FALSE TRUE
java.lang.Process,THREAD_PRIORITY_AUDIO THREAD_PRIORITY_BACKGROUND THREAD_PRIORITY_DEFAULT THREAD_PRIORITY_DISPLAY THREAD_PRIORITY_FOREGROUND THREAD_PRIORITY_LESS_FAVORABLE THREAD_PRIORITY_LOWEST THREAD_PRIORITY_MORE_FAVORABLE THREAD_PRIORITY_URGENT_AUDIO THREAD_PRIORITY_URGENT_DISPLAY THREAD_PRIORITY_VIDEO
java.lang.Thread,MAX_PRIORITY MIN_PRIORITY NORM_PRIORITY
java.math.RoundingMode,CEILING DOWN FLOOR HALF_DOWN HALF_EVEN HALF_UP UNNECESSARY UP
java.net.CookiePolicy,ACCEPT_ALL ACCEPT_NONE ACCEPT_ORIGINAL_SERVER
java.nio.charset.CodingErrorAction,IGNORE REPLACE REPORT
java.text.Normalizer$Form,NFC NFD NFKC NFKD
java.util.logging.Level,ALL CONFIG FINE FINER FINEST INFO OFF SEVERE WARNING
LayoutParams,FILL_PARENT MATCH_PARENT WRAP_CONTENT
LinearLayout.LayoutParams,FILL_PARENT MATCH_PARENT WRAP_CONTENT
Matrix.ScaleToFit,CENTER END FILL START
net.dean.jraw.models.CommentSort,CONFIDENCE TOP NEW CONTROVERSIAL OLD RANDOM QA LIVE
NotificationManager,IMPORTANCE_DEFAULT IMPORTANCE_HIGH IMPORTANCE_LOW IMPORTANCE_MAX IMPORTANCE_MIN IMPORTANCE_NONE IMPORTANCE_UNSPECIFIED
okhttp3.Protocol,HTTP_1_0 HTTP_1_1 HTTP_2 H2_PRIOR_KNOWLEDGE QUIC
org.apache.commons.lang3.builder.ToStringStyle,DEFAULT_STYLE JSON_STYLE MULTI_LINE_STYLE NO_CLASS_NAME_STYLE NO_FIELD_NAMES_STYLE SHORT_PREFIX_STYLE SIMPLE_STYLE
PackageInstaller.SessionParams,MODE_FULL_INSTALL MODE_INHERIT_EXISTING
PorterDuff.Mode,ADD CLEAR DARKEN DST DST_ATOP DST_IN DST_OUT DST_OVER LIGHTEN MULTIPLY OVERLAY SCREEN SRC SRC_ATOP SRC_IN SRC_OUT SRC_OVER XOR
TextUtils.TruncateAt,END MARQUEE MIDDLE START
ViewGroup.LayoutParams,FILL_PARENT MATCH_PARENT WRAP_CONTENT
